Shipment_ID,Customer_ID,Origin_ServiceCenter_ID,Destination_ServiceCenter_ID,Driver_ID,Equipment_ID,Pickup_Date,Delivery_Date,Promised_Delivery_Date,Month,Quarter,Year,Service_Type,Origin_State_Full,Destination_State_Full,Weight_lbs,Pieces,Pallets,Freight_Class,Transit_Days_Actual,Transit_Days_Promised,On_Time,Base_Rate_USD,Fuel_Surcharge_USD,Accessorial_Charges_USD,Total_Revenue_USD,Total_Cost_USD,Gross_Margin_USD,Gross_Margin_Pct,Claim_Filed,Claim_Reason,Claim_Amount_USD,Miles,Revenue_Per_Hundredweight,Revenue_Per_Mile
PRO1000423,CUST0153,SC018,SC022,DRV0026,TRK0104,"Sunday, May 19, 2024","Wednesday, May 22, 2024","Wednesday, May 22, 2024",May,2,2024,Standard LTL,Florida,Kentucky,15248.6,6,1,500,3,3,TRUE,"$4,561.25 ","$1,071.41 ",$0 ,"$5,632.66 ","$4,264.74 ","$1,367.92 ",24.29,FALSE,No Claim,$0 ,216,$36.94 ,4.24
PRO1000488,CUST0237,SC024,SC021,DRV0127,TRK0137,"Wednesday, August 23, 2023","Saturday, August 26, 2023","Saturday, August 26, 2023",August,3,2023,Retail,Massachusetts,Oregon,19446.4,2,1,77.5,3,3,TRUE,"$6,459.20 ","$1,454.62 ",$0 ,"$7,913.82 ","$4,537.77 ","$3,376.05 ",42.66,FALSE,No Claim,$0 ,2067,$40.70 ,4.87
PRO1000627,CUST0259,SC004,SC025,DRV0041,TRK0052,"Saturday, June 24, 2023","Tuesday, June 27, 2023","Tuesday, June 27, 2023",June,2,2023,Retail,Utah,Illinois,9470.4,4,1,60,3,3,TRUE,"$2,167.12 ",$489.58 ,$0 ,"$2,656.70 ","$1,771.29 ",$885.41 ,33.33,FALSE,No Claim,$0 ,1611,$28.05 ,12.77
PRO1000653,CUST0220,SC022,SC029,DRV0117,TRK0094,"Sunday, June 30, 2024","Wednesday, July 3, 2024","Wednesday, July 3, 2024",June,2,2024,Trade Show,Ohio,Florida,17574.6,2,1,92.5,3,3,TRUE,"$2,447.33 ",$502.59 ,$0 ,"$2,949.93 ","$1,682.39 ","$1,267.54 ",42.97,FALSE,No Claim,$0 ,93,$16.79 ,1.6
PRO1000713,CUST0163,SC008,SC019,DRV0055,TRK0006,"Tuesday, February 27, 2024","Friday, March 1, 2024","Friday, March 1, 2024",February,1,2024,Time-Critical,Maryland,Colorado,18682.5,7,1,400,3,3,TRUE,"$2,822.74 ",$581.25 ,$0 ,"$3,403.99 ","$1,990.71 ","$1,413.28 ",41.52,FALSE,No Claim,$0 ,2406,$18.22 ,1.96
PRO1000795,CUST0010,SC021,SC002,DRV0184,TRK0060,"Tuesday, October 15, 2024","Friday, October 18, 2024","Friday, October 18, 2024",October,4,2024,Residential,Tennessee,Massachusetts,154.9,4,1,125,3,3,TRUE,$52.66 ,$11.38 ,$0 ,$64.04 ,$36.50 ,$27.54 ,43,FALSE,No Claim,$0 ,356,$41.34 ,0.25
PRO1000900,CUST0200,SC023,SC009,DRV0046,TRK0032,"Thursday, June 20, 2024","Sunday, June 23, 2024","Sunday, June 23, 2024",June,2,2024,Flatbed,Missouri,Washington,11724.1,2,1,175,3,3,TRUE,"$3,934.82 ","$1,066.49 ",$0 ,"$5,001.31 ","$3,943.10 ","$1,058.21 ",21.16,FALSE,No Claim,$0 ,1464,$42.66 ,2.09
PRO1000929,CUST0140,SC008,SC019,DRV0188,TRK0150,"Monday, November 4, 2024","Thursday, November 7, 2024","Thursday, November 7, 2024",November,4,2024,Time-Critical,Maryland,Colorado,802.3,7,1,175,3,3,TRUE,$100.97 ,$26.10 ,$0 ,$127.07 ,$74.22 ,$52.85 ,41.59,FALSE,No Claim,$0 ,188,$15.84 ,0.33
PRO1000946,CUST0066,SC024,SC029,DRV0141,TRK0010,"Wednesday, April 24, 2024","Saturday, April 27, 2024","Saturday, April 27, 2024",April,2,2024,Time-Critical,Ohio,Oregon,2656,7,1,400,3,3,TRUE,$879.28 ,$181.36 ,$0 ,"$1,060.65 ",$713.81 ,$346.84 ,32.7,FALSE,No Claim,$0 ,767,$39.93 ,2.66
PRO1000958,CUST0051,SC011,SC014,DRV0097,TRK0038,"Saturday, February 11, 2023","Tuesday, February 14, 2023","Tuesday, February 14, 2023",February,1,2023,Residential,Michigan,Tennessee,9864.8,6,1,300,3,3,TRUE,"$2,397.14 ",$431.98 ,$0 ,"$2,829.12 ","$1,712.02 ","$1,117.10 ",39.49,FALSE,No Claim,$0 ,804,$28.68 ,1.96
PRO1001107,CUST0219,SC015,SC017,DRV0061,TRK0003,"Monday, April 1, 2024","Thursday, April 4, 2024","Thursday, April 4, 2024",April,2,2024,Retail,Missouri,Indiana,8214.2,5,1,125,3,3,TRUE,"$2,359.33 ",$608.39 ,$0 ,"$2,967.72 ","$2,421.71 ",$546.01 ,18.4,FALSE,No Claim,$0 ,254,$36.13 ,1.25
PRO1001108,CUST0075,SC030,SC009,DRV0033,TRK0135,"Sunday, September 1, 2024","Wednesday, September 4, 2024","Wednesday, September 4, 2024",September,3,2024,Time-Critical,Missouri,Pennsylvania,2338.6,3,1,85,3,3,TRUE,$241.30 ,$61.20 ,$0 ,$302.51 ,$225.57 ,$76.94 ,25.43,FALSE,No Claim,$0 ,1200,$12.94 ,0.13
PRO1001133,CUST0102,SC017,SC008,DRV0063,TRK0083,"Tuesday, May 7, 2024","Friday, May 10, 2024","Friday, May 10, 2024",May,2,2024,Flatbed,Colorado,Missouri,17971.5,6,1,300,3,3,TRUE,"$2,700.15 ",$667.14 ,$0 ,"$3,367.29 ","$2,807.77 ",$559.52 ,16.62,FALSE,No Claim,$0 ,1143,$18.74 ,11.45
PRO1001139,CUST0002,SC006,SC013,DRV0036,TRK0045,"Thursday, August 8, 2024","Sunday, August 11, 2024","Sunday, August 11, 2024",August,3,2024,Standard LTL,North Carolina,California,6742.5,5,1,92.5,3,3,TRUE,"$1,628.70 ",$397.01 ,$0 ,"$2,025.72 ","$1,198.34 ",$827.38 ,40.84,FALSE,No Claim,$0 ,513,$30.04 ,1.14
PRO1001160,CUST0118,SC027,SC002,DRV0185,TRK0102,"Saturday, November 25, 2023","Tuesday, November 28, 2023","Tuesday, November 28, 2023",November,4,2023,Trade Show,Tennessee,Oklahoma,6492.8,7,1,50,3,3,TRUE,"$1,142.66 ",$252.04 ,$0 ,"$1,394.70 ",$954.25 ,$440.45 ,31.58,FALSE,No Claim,$0 ,276,$21.48 ,0.69
PRO1001322,CUST0193,SC028,SC007,DRV0020,TRK0023,"Thursday, August 1, 2024","Sunday, August 4, 2024","Sunday, August 4, 2024",August,3,2024,Trade Show,Arizona,Alabama,14270.1,5,1,175,3,3,TRUE,"$1,421.68 ",$332.53 ,$0 ,"$1,754.22 ","$1,126.34 ",$627.88 ,35.79,FALSE,No Claim,$0 ,2165,$12.29 ,2.4
PRO1001339,CUST0229,SC027,SC001,DRV0012,TRK0063,"Sunday, October 8, 2023","Wednesday, October 11, 2023","Wednesday, October 11, 2023",October,4,2023,Retail,Arkansas,Oklahoma,15405.4,1,1,50,3,3,TRUE,"$2,018.20 ",$563.69 ,$0 ,"$2,581.89 ","$2,064.45 ",$517.44 ,20.04,FALSE,No Claim,$0 ,2046,$16.76 ,1.18
PRO1001375,CUST0112,SC002,SC027,DRV0109,TRK0002,"Monday, July 17, 2023","Thursday, July 20, 2023","Thursday, July 20, 2023",July,3,2023,Residential,Oklahoma,Tennessee,8180.5,4,1,500,3,3,TRUE,"$2,790.04 ",$602.46 ,$0 ,"$3,392.49 ","$1,956.50 ","$1,435.99 ",42.33,FALSE,No Claim,$0 ,2175,$41.47 ,6.16
PRO1001377,CUST0018,SC030,SC017,DRV0106,TRK0034,"Friday, February 3, 2023","Monday, February 6, 2023","Monday, February 6, 2023",February,1,2023,Time-Critical,Missouri,Pennsylvania,11385.9,2,1,150,3,3,TRUE,"$3,432.41 ",$621.80 ,$0 ,"$4,054.21 ","$3,263.21 ",$791 ,19.51,FALSE,No Claim,$0 ,1920,$35.61 ,3.61
PRO1001383,CUST0232,SC029,SC003,DRV0047,TRK0028,"Monday, November 18, 2024","Thursday, November 21, 2024","Thursday, November 21, 2024",November,4,2024,Time-Critical,Texas,Ohio,7897,1,1,55,3,3,TRUE,"$1,742.63 ",$443.52 ,$0 ,"$2,186.15 ","$1,608.55 ",$577.60 ,26.42,FALSE,No Claim,$0 ,1532,$27.68 ,7.78
PRO1001406,CUST0197,SC013,SC004,DRV0199,TRK0065,"Friday, June 21, 2024","Monday, June 24, 2024","Monday, June 24, 2024",June,2,2024,Trade Show,Illinois,North Carolina,5134.6,5,1,77.5,3,3,TRUE,$773.36 ,$184.45 ,$0 ,$957.81 ,$527.52 ,$430.29 ,44.92,FALSE,No Claim,$0 ,1935,$18.65 ,7.66
PRO1001499,CUST0275,SC024,SC007,DRV0127,TRK0110,"Monday, November 13, 2023","Thursday, November 16, 2023","Thursday, November 16, 2023",November,4,2023,Time-Critical,Arizona,Oregon,10807.4,3,1,250,3,3,TRUE,"$3,238.51 ",$736.46 ,$0 ,"$3,974.97 ","$3,107.74 ",$867.23 ,21.82,FALSE,No Claim,$0 ,1668,$36.78 ,2.01
PRO1001513,CUST0110,SC016,SC009,DRV0186,TRK0053,"Saturday, May 25, 2024","Tuesday, May 28, 2024","Tuesday, May 28, 2024",May,2,2024,Flatbed,Missouri,Minnesota,1425,1,1,300,3,3,TRUE,$194.65 ,$37.54 ,$0 ,$232.19 ,$140.78 ,$91.41 ,39.37,FALSE,No Claim,$0 ,1306,$16.29 ,0.18
PRO1001604,CUST0203,SC007,SC008,DRV0164,TRK0056,"Sunday, October 22, 2023","Wednesday, October 25, 2023","Wednesday, October 25, 2023",October,4,2023,Standard LTL,Colorado,Arizona,7436.2,1,1,50,3,3,TRUE,"$1,854.14 ",$378.33 ,$0 ,"$2,232.47 ","$1,329.59 ",$902.88 ,40.44,FALSE,No Claim,$0 ,322,$30.02 ,1.8
PRO1001640,CUST0067,SC017,SC010,DRV0100,TRK0043,"Saturday, July 27, 2024","Tuesday, July 30, 2024","Tuesday, July 30, 2024",July,3,2024,Flatbed,Texas,Missouri,9439.9,2,1,175,3,3,TRUE,"$3,066.30 ",$652.10 ,$0 ,"$3,718.40 ","$2,236.33 ","$1,482.07 ",39.86,FALSE,No Claim,$0 ,610,$39.39 ,2.32
PRO1001756,CUST0139,SC004,SC013,DRV0091,TRK0011,"Saturday, April 29, 2023","Tuesday, May 2, 2023","Tuesday, May 2, 2023",April,2,2023,Trade Show,North Carolina,Illinois,5815.4,4,1,150,3,3,TRUE,$941.31 ,$256.71 ,$0 ,"$1,198.02 ",$929.83 ,$268.19 ,22.39,FALSE,No Claim,$0 ,2214,$20.60 ,0.74
PRO1001788,CUST0115,SC020,SC030,DRV0061,TRK0092,"Sunday, October 8, 2023","Wednesday, October 11, 2023","Wednesday, October 11, 2023",October,4,2023,Flatbed,Pennsylvania,Pennsylvania,17980.3,1,1,85,3,3,TRUE,"$5,243.69 ","$1,023.23 ",$0 ,"$6,266.93 ","$4,909.99 ","$1,356.94 ",21.65,FALSE,No Claim,$0 ,638,$34.85 ,2.76
PRO1001800,CUST0173,SC025,SC014,DRV0061,TRK0052,"Thursday, October 5, 2023","Sunday, October 8, 2023","Sunday, October 8, 2023",October,4,2023,Time-Critical,Michigan,Utah,2644.8,7,1,300,3,3,TRUE,$911.88 ,$181.32 ,$0 ,"$1,093.20 ",$908.80 ,$184.40 ,16.87,FALSE,No Claim,$0 ,1573,$41.33 ,1.29
PRO1001820,CUST0300,SC006,SC026,DRV0091,TRK0128,"Sunday, January 28, 2024","Wednesday, January 31, 2024","Wednesday, January 31, 2024",January,1,2024,Trade Show,New Mexico,California,7081.2,7,1,200,3,3,TRUE,$809.75 ,$178.34 ,$0 ,$988.09 ,$660.44 ,$327.65 ,33.16,FALSE,No Claim,$0 ,2443,$13.95 ,0.75
PRO1001861,CUST0010,SC015,SC009,DRV0189,TRK0092,"Monday, January 8, 2024","Thursday, January 11, 2024","Thursday, January 11, 2024",January,1,2024,Standard LTL,Missouri,Indiana,4403.2,6,1,50,3,3,TRUE,"$1,436.42 ",$275.16 ,$0 ,"$1,711.58 ","$1,145.64 ",$565.94 ,33.07,FALSE,No Claim,$0 ,742,$38.87 ,0.72
PRO1001889,CUST0259,SC012,SC025,DRV0156,TRK0047,"Sunday, October 27, 2024","Wednesday, October 30, 2024","Wednesday, October 30, 2024",October,4,2024,Retail,Utah,Ohio,6249.7,7,1,175,3,3,TRUE,"$1,197.38 ",$245.94 ,$0 ,"$1,443.32 ",$958.25 ,$485.07 ,33.61,FALSE,No Claim,$0 ,1079,$23.09 ,1.1
PRO1001913,CUST0237,SC022,SC023,DRV0071,TRK0146,"Thursday, July 11, 2024","Sunday, July 14, 2024","Sunday, July 14, 2024",July,3,2024,Residential,Washington,Florida,8942,6,1,92.5,3,3,TRUE,"$2,677.28 ",$609.66 ,$0 ,"$3,286.94 ","$2,521.64 ",$765.30 ,23.28,FALSE,No Claim,$0 ,830,$36.76 ,7.7
PRO1001962,CUST0252,SC021,SC024,DRV0187,TRK0077,"Sunday, July 30, 2023","Wednesday, August 2, 2023","Wednesday, August 2, 2023",July,3,2023,Retail,Oregon,Massachusetts,18863.9,3,1,92.5,3,3,TRUE,"$1,787.60 ",$406.60 ,$0 ,"$2,194.21 ","$1,383.73 ",$810.48 ,36.94,FALSE,No Claim,$0 ,690,$11.63 ,32.75
PRO1001981,CUST0268,SC029,SC027,DRV0172,TRK0119,"Tuesday, July 16, 2024","Friday, July 19, 2024","Friday, July 19, 2024",July,3,2024,Retail,Oklahoma,Ohio,16082.2,3,1,50,3,3,TRUE,"$2,031.39 ",$472.98 ,$0 ,"$2,504.37 ","$1,836.31 ",$668.06 ,26.68,FALSE,No Claim,$0 ,281,$15.57 ,35.78
PRO1001986,CUST0061,SC003,SC021,DRV0008,TRK0050,"Wednesday, January 3, 2024","Saturday, January 6, 2024","Saturday, January 6, 2024",January,1,2024,Trade Show,Massachusetts,Texas,8368.5,1,1,125,3,3,TRUE,"$2,131.50 ",$396.20 ,$0 ,"$2,527.70 ","$2,069.45 ",$458.25 ,18.13,FALSE,No Claim,$0 ,417,$30.20 ,1.14
PRO1001988,CUST0215,SC015,SC012,DRV0165,TRK0102,"Monday, October 16, 2023","Thursday, October 19, 2023","Thursday, October 19, 2023",October,4,2023,Residential,Ohio,Indiana,19896.9,1,1,60,3,3,TRUE,"$6,895.38 ","$1,511.61 ",$0 ,"$8,406.99 ","$5,767.87 ","$2,639.12 ",31.39,FALSE,No Claim,$0 ,1535,$42.25 ,4.37
PRO1001992,CUST0241,SC021,SC028,DRV0114,TRK0111,"Friday, December 20, 2024","Monday, December 23, 2024","Monday, December 23, 2024",December,4,2024,Standard LTL,Alabama,Massachusetts,16970.2,4,1,250,3,3,TRUE,"$2,877.27 ",$534.77 ,$0 ,"$3,412.04 ","$2,347.61 ","$1,064.43 ",31.2,FALSE,No Claim,$0 ,880,$20.11 ,7.18
PRO1002025,CUST0047,SC029,SC018,DRV0153,TRK0080,"Saturday, March 23, 2024","Tuesday, March 26, 2024","Tuesday, March 26, 2024",March,1,2024,Time-Critical,Kentucky,Ohio,10932.9,5,1,50,3,3,TRUE,"$1,510.26 ",$339.62 ,$0 ,"$1,849.88 ","$1,034.03 ",$815.85 ,44.1,FALSE,No Claim,$0 ,70,$16.92 ,5.2
PRO1002048,CUST0077,SC028,SC008,DRV0148,TRK0130,"Sunday, January 8, 2023","Wednesday, January 11, 2023","Wednesday, January 11, 2023",January,1,2023,Trade Show,Colorado,Alabama,19516.5,5,1,100,3,3,TRUE,"$5,172.10 ","$1,090.38 ",$0 ,"$6,262.47 ","$4,286.66 ","$1,975.81 ",31.55,FALSE,No Claim,$0 ,1868,$32.09 ,3.85
PRO1002078,CUST0185,SC013,SC016,DRV0149,TRK0052,"Saturday, April 1, 2023","Tuesday, April 4, 2023","Tuesday, April 4, 2023",April,2,2023,Trade Show,Minnesota,North Carolina,1613,7,1,150,3,3,TRUE,$549.27 ,$101.76 ,$0 ,$651.03 ,$435.98 ,$215.05 ,33.03,FALSE,No Claim,$0 ,576,$40.36 ,1.1
PRO1002082,CUST0032,SC014,SC003,DRV0155,TRK0086,"Sunday, November 10, 2024","Wednesday, November 13, 2024","Wednesday, November 13, 2024",November,4,2024,Residential,Texas,Michigan,5684.9,4,1,250,3,3,TRUE,"$1,149.70 ",$248.60 ,$0 ,"$1,398.30 ","$1,073.76 ",$324.54 ,23.21,FALSE,No Claim,$0 ,1084,$24.60 ,0.72
PRO1002098,CUST0176,SC001,SC029,DRV0176,TRK0049,"Thursday, April 25, 2024","Sunday, April 28, 2024","Sunday, April 28, 2024",April,2,2024,Residential,Ohio,Arkansas,19798,7,1,85,3,3,TRUE,"$4,657.43 ","$1,273.38 ",$0 ,"$5,930.81 ","$4,102.06 ","$1,828.75 ",30.83,FALSE,No Claim,$0 ,2433,$29.96 ,37.07
PRO1002144,CUST0178,SC017,SC013,DRV0189,TRK0139,"Sunday, January 14, 2024","Wednesday, January 17, 2024","Wednesday, January 17, 2024",January,1,2024,Flatbed,North Carolina,Missouri,9750.4,3,1,100,3,3,TRUE,"$2,995.81 ",$711.90 ,$0 ,"$3,707.71 ","$2,243.74 ","$1,463.97 ",39.48,FALSE,No Claim,$0 ,140,$38.03 ,1.79
PRO1002176,CUST0066,SC013,SC002,DRV0125,TRK0049,"Tuesday, February 13, 2024","Friday, February 16, 2024","Friday, February 16, 2024",February,1,2024,Trade Show,Tennessee,North Carolina,219,1,1,85,3,3,TRUE,$55.48 ,$10.21 ,$0 ,$65.68 ,$40.97 ,$24.71 ,37.62,FALSE,No Claim,$0 ,549,$29.99 ,0.05
PRO1002245,CUST0099,SC030,SC028,DRV0102,TRK0121,"Saturday, February 4, 2023","Tuesday, February 7, 2023","Tuesday, February 7, 2023",February,1,2023,Trade Show,Alabama,Pennsylvania,4044.1,5,1,55,3,3,TRUE,"$1,305.12 ",$339.54 ,$0 ,"$1,644.66 ","$1,055.85 ",$588.81 ,35.8,FALSE,No Claim,$0 ,2140,$40.67 ,0.76
PRO1002248,CUST0258,SC024,SC007,DRV0123,TRK0035,"Wednesday, April 5, 2023","Saturday, April 8, 2023","Saturday, April 8, 2023",April,2,2023,Trade Show,Arizona,Oregon,15863.7,4,1,125,3,3,TRUE,"$3,114.58 ",$767.34 ,$0 ,"$3,881.92 ","$2,332.43 ","$1,549.49 ",39.92,FALSE,No Claim,$0 ,536,$24.47 ,8.9
PRO1002267,CUST0293,SC017,SC022,DRV0200,TRK0004,"Friday, December 13, 2024","Monday, December 16, 2024","Monday, December 16, 2024",December,4,2024,Trade Show,Florida,Missouri,3521.8,2,1,400,3,3,TRUE,$994.88 ,$205.33 ,$0 ,"$1,200.20 ",$680.20 ,$520 ,43.33,FALSE,No Claim,$0 ,1453,$34.08 ,0.77
PRO1002287,CUST0143,SC022,SC004,DRV0132,TRK0119,"Friday, February 2, 2024","Monday, February 5, 2024","Monday, February 5, 2024",February,1,2024,Standard LTL,Illinois,Florida,18104.6,3,1,175,3,3,TRUE,"$3,685.27 ",$801.91 ,$0 ,"$4,487.19 ","$2,551.01 ","$1,936.18 ",43.15,FALSE,No Claim,$0 ,1767,$24.78 ,18.54
PRO1002296,CUST0018,SC020,SC027,DRV0080,TRK0122,"Tuesday, July 25, 2023","Friday, July 28, 2023","Friday, July 28, 2023",July,3,2023,Time-Critical,Oklahoma,Pennsylvania,11821.3,4,1,300,3,3,TRUE,"$1,367.89 ",$367.68 ,$0 ,"$1,735.57 ","$1,152.87 ",$582.70 ,33.57,FALSE,No Claim,$0 ,1606,$14.68 ,4.99
PRO1002396,CUST0021,SC030,SC013,DRV0178,TRK0049,"Sunday, October 20, 2024","Wednesday, October 23, 2024","Wednesday, October 23, 2024",October,4,2024,Retail,North Carolina,Pennsylvania,12145.1,4,1,500,3,3,TRUE,"$2,202.75 ",$447.03 ,$0 ,"$2,649.77 ","$2,126.68 ",$523.09 ,19.74,FALSE,No Claim,$0 ,1238,$21.82 ,1.24
PRO1002405,CUST0244,SC018,SC015,DRV0179,TRK0060,"Tuesday, December 12, 2023","Friday, December 15, 2023","Friday, December 15, 2023",December,4,2023,Standard LTL,Indiana,Kentucky,15045.9,2,1,300,3,3,TRUE,"$3,718.74 ",$707.06 ,$0 ,"$4,425.79 ","$3,540.86 ",$884.93 ,19.99,FALSE,No Claim,$0 ,1998,$29.42 ,4.73
PRO1002535,CUST0041,SC014,SC017,DRV0154,TRK0096,"Sunday, August 13, 2023","Wednesday, August 16, 2023","Wednesday, August 16, 2023",August,3,2023,Residential,Missouri,Michigan,6695.2,2,1,110,3,3,TRUE,"$2,320.63 ",$553.07 ,$0 ,"$2,873.70 ","$2,108.11 ",$765.59 ,26.64,FALSE,No Claim,$0 ,100,$42.92 ,1.42
PRO1002560,CUST0098,SC020,SC029,DRV0041,TRK0087,"Monday, September 23, 2024","Thursday, September 26, 2024","Thursday, September 26, 2024",September,3,2024,Flatbed,Ohio,Pennsylvania,1571.9,1,1,60,3,3,TRUE,$365.80 ,$79.76 ,$0 ,$445.56 ,$370.12 ,$75.44 ,16.93,FALSE,No Claim,$0 ,1900,$28.35 ,0.2
PRO1002584,CUST0291,SC021,SC017,DRV0050,TRK0095,"Thursday, November 30, 2023","Sunday, December 3, 2023","Sunday, December 3, 2023",November,4,2023,Standard LTL,Missouri,Massachusetts,16470.3,3,1,70,3,3,TRUE,"$5,485.32 ",$997.20 ,$0 ,"$6,482.52 ","$4,843.35 ","$1,639.17 ",25.29,FALSE,No Claim,$0 ,2383,$39.36 ,3.64
PRO1002615,CUST0235,SC019,SC006,DRV0079,TRK0150,"Monday, December 9, 2024","Thursday, December 12, 2024","Thursday, December 12, 2024",December,4,2024,Trade Show,California,Maryland,19183,6,1,92.5,3,3,TRUE,"$2,271.72 ",$529.29 ,$0 ,"$2,801.01 ","$1,658.02 ","$1,142.99 ",40.81,FALSE,No Claim,$0 ,1056,$14.60 ,1.18
PRO1002693,CUST0170,SC017,SC021,DRV0084,TRK0017,"Wednesday, January 25, 2023","Saturday, January 28, 2023","Saturday, January 28, 2023",January,1,2023,Retail,Massachusetts,Missouri,11435.9,6,1,125,3,3,TRUE,"$2,971.36 ",$715.46 ,$0 ,"$3,686.82 ","$2,161.04 ","$1,525.78 ",41.38,FALSE,No Claim,$0 ,1893,$32.24 ,1.48
PRO1002714,CUST0138,SC016,SC023,DRV0032,TRK0114,"Tuesday, March 12, 2024","Friday, March 15, 2024","Friday, March 15, 2024",March,1,2024,Residential,Washington,Minnesota,9108.6,7,1,65,3,3,TRUE,"$1,922.71 ",$490.25 ,$0 ,"$2,412.96 ","$1,547.96 ",$865 ,35.85,FALSE,No Claim,$0 ,1445,$26.49 ,1.5
PRO1002729,CUST0152,SC002,SC003,DRV0067,TRK0099,"Wednesday, February 22, 2023","Saturday, February 25, 2023","Saturday, February 25, 2023",February,1,2023,Trade Show,Texas,Tennessee,16538,6,1,150,3,3,TRUE,"$4,490.97 ","$1,194.19 ",$0 ,"$5,685.16 ","$3,898.41 ","$1,786.75 ",31.43,FALSE,No Claim,$0 ,920,$34.38 ,5.42
